S. No.,Br. No. ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,10630,28-Mar-15,64429,13th Finance,13th Finance-2013-14(Electrical),Ujjwala Enterprises Hubli,"ºÀÄ§â½îAiÀÄ ªÁqÀğ £ÀA 35 gÀ°è §gÀÄªÀ ZÉÃvÀ£Á PÁ¯ÉÃd, CPÀëAiÀÄ PÁ®¤ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°èAiÀÄ ""ÄrAiÀÄ£À ©Ã¢ ¢Ã¥ÀUÀ¼À PÉÃ§® ºÁUÀÆ ¥É£À® ¨ÉÆÃqÀğ, PÀAmÉÆæÃ® ¨ÁPÀì EvÁå¢UÀ¼À£ÀÄß §zÀ¯ÁÄ¸ÀÄªÀzÀÄ","Providing median Straight lights cable and penal board, control box etc in Chetan college Aksya colony 
main roads in ward No.35

",01-Apr-15,214413,08-Apr-15,214413
2,9973,11-Mar-15,55970,13th Finance,13th Finance-2012-13(Electrical),Deepa Solar Lighting Systems,2012-13 £ÉÃ ¸Á°£À 13 £ÉÃ ºÀtPÁ¸ÀÄ C£ÀÄzÁ£ÀzÀ CrAiÀÄ°èAiÀÄ ©Ã¢ ¢Ã¥À C¼ÀªÀrPÉ PÁªÀÄUÁjUÀ¼ÀÄ.,Electrical Works under 13th Finance for the year 2012-13,09-Apr-15,426740,10-Apr-15,426740
3,10740,30-Mar-15,65824,13th Finance,13th Finance-2013-14(RD_BRDG),Bharat Enterprises Hubli (Bagi),ºÀÄ.«.ªÁqÀğ £ÀA 46 gÀ £ÀÆåPÁl£ï ªÀiÁPÉğl ¢AzÀ «L¦ gÀ¸ÉÛ ºÁUÀÆ ¦PÉÆÃPï ºÉÆÃmÉ¯ï gÀ¸ÉÛ¬ÄAzÀ ¥ÉÆÃ°¸ï ¸ÉÖÃµÀ£ï ªÀgÉV£À gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ,Improvement road of New Cotton market of VIP road from Peacock hotel to Police Station and reapir to culvert of ward No : 46,09-Apr-15,1494030,10-Apr-15,1494030
4,10902,31-Mar-15,62185,13th Finance,13th Finance(P)2012-13(UGD),Gudadur R.R.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 03 ªÁqÀğ £ÀA 12 gÀ ¸ÉÊzÁ¥ÀÆgÀ zÀAr£À NtÂ ¨sÁUÀzÀ°è M¼ÀZÀgÀAr ZÉÃA§gÀ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 17238),Regareding UGD Line Work At Saidapur Dhandin Oni. in ward no 12 of Dharwad,09-Apr-15,517084,20-Apr-15,517084
5,10840,31-Mar-15,66340,13th Finance,13th Finance(P)2012-13(swm),Ray Engineers and Fabricators Belgaum,¥Áè¹ÖPï ¨ÉÊ°AUï  0.8 ¸ÁªÀÄxÀåğ AiÀÄAvÀæªÀ£ÀÄß ¥ÀÆgÉÊ¸ÀÄªÀ PÀÄjvÀÄ.,Supply of Plastic Balling Machine Capacity 0.8 ton/day,20-Apr-15,638800,20-Apr-15,638800
6,10944,31-Mar-15,62117,13th Finance,13th Finance-2013-14(UGD),M M Patil,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA 01 ªÁqÀğ £ÀA 02gÀ°è ºÀÄqÉÆÌÃ PÁ®¤AiÀÄ°è M¼ÀZÀgÀAr ¯ÉÊ£À ºÁPÀÄªÀÅzÀÄ  ºÁUÀÆ ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ. (EAqÉÃ£ïÖ £ÀA. 16821),Laying of UGD line and construction of chambers in HUDCO colony ward No.2 of Dharwad,13-Apr-15,381493,20-Apr-15,381493
7,140,15-Apr-15,61711,13th Finance,13th Finance(P)2012-13(UGD),Doddamani S.M.,¥ÀAZÁPÀëj £ÀUÀgÀ CqÀØgÀ¸ÉÛUÀ¼À°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀğ ¸ÀÄzsÁgÀuÉ.,Providing and laying UGD at Panchakshri Nagar cross road in w.no.23,24-Apr-15,451638,24-Apr-15,451638
8,350,22-Apr-15,70640,13th Finance,13th Finance-2012-13(UGD),Raju S.R.,"EAqÉAmï £ÀA.27102, ºÀÄ.«ªÁqÀğ £ÀA.64gÀ SÁ¢æÃAiÀiÁ mË£ÀzÀ°è ºÁUÀÆ E¸ÁèA¥ÀÆgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀğ C¼ÀªÀr¸ÀÄªÀzÀÄ
","Providing UGD line to Khadriya town & Islampur at ward no. 64
",24-Apr-15,440044,24-Apr-15,440044
9,218,16-Apr-15,63698,13th Finance,13th Finance(P)2012-13(Bldg),M C Paintermulla,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉÃj £ÀA02 ªÁqÀğ £ÀA 11gÀ ºÉÆ¸À PÀlÖqÀPÉÌ G½zÀ zÀÄgÀ¹Ü PÁªÀÄUÁj. (EAqÉÃ£ïÖ £ÀA. 16811),Regarding Building Work At Dharwad Division ( Zonal 2 ),27-Apr-15,293254,02-May-15,293254
10,271,18-Apr-15,67450,13th Finance,13th Finance(P)2012-13(Bldg),Hanchinmani Nagesh R,ºÀÄ§â½î «.ªÁqÀğ 28 gÀ PÀ£ÀßqÀ ¨sÀªÀ£À ¨ÁQ PÁªÀÄUÁjUÀ¼À£ÀÄß ¥ÀÆtğUÉÆ½¸ÀÄªÀÅzÀÄ E.£ÀA-18442.,Regarding Building Work At Kannada Bhavan Hubli Division,07-May-15,1054953,08-May-15,1054953
11,799,08-May-15,70812,13th Finance,13th Finance(P)2013-14(UGD),Krishna N.,ºÀÄ.«ªÁqÀğ £ÀA.40gÀ ªÀÄzÀ¤ PÁ®¤ ºÁUÀÆ UÀÄr ¥ÁèlzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Providing UGD line toMadani colony and Gudi plot at ward no. 40.,18-May-15,557962,18-May-15,557962
